city,district,location,lat,lon
Москва,ОМВД Марьина Роща,"ОМВД Марьина Роща, Москва",55.78899,37.61786
Москва,ОМВД России по району Зюзино г. Москвы,ОМВД России по району Зюзино г. Москвы,55.63988,37.59078
Москва,Отдел МВД по Гагаринскому району,"Отдел МВД по Гагаринскому району, Москва",55.6973,37.55717
Москва,ОМВД России по Войковскому району,"ОМВД России по Войковскому району, Москва",55.82154,37.50198
Москва,ОМВД России по району Савеловский г. Москвы,ОМВД России по району Савеловский г. Москвы,55.79352,37.57493
Москва,Отдел МВД России по району Печатники,"Отдел МВД России по району Печатники, Москва",55.68012,37.70107
Москва,Отдел МВД России по району Измайлово Восточное г. Москвы,Отдел МВД России по району Измайлово Восточное г. Москвы,55.79193,37.81581
Москва,ОМВД России по району Проспект Вернадского г. Москвы,ОМВД России по району Проспект Вернадского г. Москвы,55.67482,37.49531
Москва,ОМВД России по району Филевский парк г. Москвы,ОМВД России по району Филевский парк г. Москвы,55.74642,37.50365
Москва,Отдел МВД России по району Марьино,"Отдел МВД России по району Марьино, Москва",55.66987,37.75103
Санкт-Петербург,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,59.73695,30.40553
Санкт-Петербург,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,59.73695,30.40553
Санкт-Петербург,Отдел полиции № 4 Пушкинского района г. Санкт-Петербурга,Отдел полиции № 4 Пушкинского района г. Санкт-Петербурга,59.73695,30.40553
Санкт-Петербург,Отдел МВД по Курортному району г. Санкт-Петербурга,Отдел МВД по Курортному району г. Санкт-Петербурга,60.18823,29.80873
Санкт-Петербург,Отдел полиции № 39 Колпинского района г. Санкт-Петербурга,Отдел полиции № 39 Колпинского района г. Санкт-Петербурга,59.81182,30.57789
Санкт-Петербург,Отдел МВД по Петродворцовому району г. Санкт-Петербурга,Отдел МВД по Петродворцовому району г. Санкт-Петербурга,59.87766,29.85881
Санкт-Петербург,Отдел МВД по Петродворцовому району г. Санкт-Петербурга,Отдел МВД по Петродворцовому району г. Санкт-Петербурга,59.87766,29.85881
Санкт-Петербург,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,59.73548,30.58887
Санкт-Петербург,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,59.73548,30.58887
Санкт-Петербург,Отдел МВД по Кронштадтскому району г. Санкт-Петербурга,Отдел МВД по Кронштадтскому району г. Санкт-Петербурга,59.99433,29.76441
Екатеринбург,Отдел полиции № 5 УМВД по городу Екатеринбургу,"Отдел полиции № 5 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Пушкин,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,59.73695,30.40553
Пушкин,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,59.73695,30.40553
Иркутск,Отдел полиции № 7 УМВД по г. Иркутску,Отдел полиции № 7 УМВД по г. Иркутску,52.2749,104.3199
Омск,Отдел полиции № 10 УМВД по г. Омску,Отдел полиции № 10 УМВД по г. Омску,54.98684,73.37965
Архангельск,Отдел полиции № 3 (по обслуживанию Ломоносовского округа г. Архангельска),Отдел полиции № 3 (по обслуживанию Ломоносовского округа г. Архангельска),64.53122181,40.55712398
Кемерово,Отдел полиции «Центральный» УМВД по г. Кемерово,Отдел полиции «Центральный» УМВД по г. Кемерово,55.36078,86.07205
Астрахань,УМВД России по г. Астрахани,УМВД России по г. Астрахани,46.35335,48.0386
