city,district,district_en,location,lat,lon
Ростов-на-Дону,Отдел полиции № 8 УМВД по городу Ростову-на-Дону,NA,"Отдел полиции № 8 УМВД по городу Ростову-на-Дону, Ростов-на-Дону",NA,NA
Ростов-на-Дону,Отдел полиции № 1 УМВД по городу Ростову-на-Дону,NA,"Отдел полиции № 1 УМВД по городу Ростову-на-Дону, Ростов-на-Дону",NA,NA
Красноярск,Отдел полиции № 2 МУ МВД «Красноярское»,NA,"Отдел полиции № 2 МУ МВД «Красноярское», Красноярск",NA,NA
Красноярск,Отдел полиции № 11 МУ МВД «Красноярское»,NA,"Отдел полиции № 11 МУ МВД «Красноярское», Красноярск",NA,NA
Уфа,Отдел полиции № 5 (Орджоникидзевский район),NA,"Отдел полиции № 5 (Орджоникидзевский район), Уфа",NA,NA
Уфа,Отдел полиции № 11 (Демский район),NA,"Отдел полиции № 11 (Демский район), Уфа",NA,NA
Уфа,Отдел полиции № 10 (Советский район),NA,"Отдел полиции № 10 (Советский район), Уфа",NA,NA
Иркутск,Отдел полиции № 6 УМВД по г. Иркутску,NA,Отдел полиции № 6 УМВД по г. Иркутску,NA,NA
Иркутск,Отдел полиции № 2 УМВД по г. Иркутску,NA,Отдел полиции № 2 УМВД по г. Иркутску,NA,NA
Иркутск,Отдел полиции № 1 УМВД по г. Иркутску,NA,Отдел полиции № 1 УМВД по г. Иркутску,NA,NA
Казань,Отдел полиции № 9 «Сафиуллина» УМВД по г. Казани,NA,Отдел полиции № 9 «Сафиуллина» УМВД по г. Казани,NA,NA
Казань,Отдел полиции № 6 «Савиново» УМВД по г. Казани,NA,Отдел полиции № 6 «Савиново» УМВД по г. Казани,NA,NA
Волгоград,Отдел полиции № 3 УМВД России по городу Вологде,NA,"Отдел полиции № 3 УМВД России по городу Вологде, Волгоград",NA,NA
Саратов,Отдел полиции № 2 в составе УМВД по городу Саратову (Заводской район),NA,"Отдел полиции № 2 в составе УМВД по городу Саратову (Заводской район), Саратов",NA,NA
Саратов,Отдел полиции № 5 в составе УМВД по городу Саратову (Октябрьский район),NA,"Отдел полиции № 5 в составе УМВД по городу Саратову (Октябрьский район), Саратов",NA,NA
Омск,Отдел полиции № 7 УМВД по г. Омску,NA,Отдел полиции № 7 УМВД по г. Омску,NA,NA
Омск,Отдел полиции № 4 УМВД по г. Омску,NA,Отдел полиции № 4 УМВД по г. Омску,NA,NA
Калининград,УМВД России по городу Калининграду (Ленинградский),NA,"УМВД России по городу Калининграду (Ленинградский), Калининград",NA,NA
Тюмень,Отдел полиции № 6 УМВД по г. Тюмени,NA,Отдел полиции № 6 УМВД по г. Тюмени,NA,NA
Ярославль,Отдел МВД России по Ленинскому городскому району,NA,"Отдел МВД России по Ленинскому городскому району, Ярославль",NA,NA
Владивосток,УМВД по городу Владивостоку (отдел полиции № 4),NA,"УМВД по городу Владивостоку (отдел полиции № 4), Владивосток",NA,NA
Рязань,Отдел полиции № 4 (по обслуживанию Московского района г. Рязани),NA,Отдел полиции № 4 (по обслуживанию Московского района г. Рязани),NA,NA
Рязань,Отдел МВД России по Советскому району города Рязаниолиции № 1 (по обслуживанию Советского района г. Рязани,NA,Отдел МВД России по Советскому району города Рязаниолиции № 1 (по обслуживанию Советского района г. Рязани,NA,NA
Томск,Отдел полиции № 1 (по обслуживанию внутригородской территории Кировский район) УМВД по городу Томску,NA,"Отдел полиции № 1 (по обслуживанию внутригородской территории Кировский район) УМВД по городу Томску, Томск",NA,NA
Томск,Отдел полиции № 4 (по обслуживанию внутригородской территории Октябрьский район) УМВД по городу Томску,NA,"Отдел полиции № 4 (по обслуживанию внутригородской территории Октябрьский район) УМВД по городу Томску, Томск",NA,NA
Тверь,Заволжский отдел полиции,NA,"Заволжский отдел полиции, Тверь",NA,NA
Самара,Отдел полиции № 2,NA,"Отдел полиции № 2, Самара",NA,NA
Троицк (Москва),МО МВД России «Троицкий» г. Москвы,NA,МО МВД России «Троицкий» г. Москвы,NA,NA
Владимир,Отдел МВД по району имени Полины Осипенко,NA,"Отдел МВД по району имени Полины Осипенко, Владимир",NA,NA
Владимир,ИВС при УВД г. Владимира,NA,ИВС при УВД г. Владимира,NA,NA
Липецк,Отдел полиции № 8 УМВД по г. Липецку,NA,Отдел полиции № 8 УМВД по г. Липецку,NA,NA
Хабаровск,Отдел полиции № 8 УМВД по г. Хабаровску,NA,Отдел полиции № 8 УМВД по г. Хабаровску,NA,NA
Хабаровск,Отдел полиции № 1 УМВД по г. Хабаровску,NA,Отдел полиции № 1 УМВД по г. Хабаровску,NA,NA
Ульяновск,Отдел полиции № 3 по обслуживанию Засвияжского района г. Ульяновска,NA,Отдел полиции № 3 по обслуживанию Засвияжского района г. Ульяновска,NA,NA
Белгород,Управление МВД России по г. Белгороду,NA,Управление МВД России по г. Белгороду,NA,NA
Улан-Удэ,Отдел полиции № 2 МВД по г. Улан-Удэ,NA,Отдел полиции № 2 МВД по г. Улан-Удэ,NA,NA
Кемерово,Отдел полиции «Юбилейный» УМВД по г. Кемерово,NA,Отдел полиции «Юбилейный» УМВД по г. Кемерово,NA,NA
Таганрог,Отдел полиции № 1 УМВД по городу Таганрогу,NA,"Отдел полиции № 1 УМВД по городу Таганрогу, Таганрог",NA,NA
Миасс,Отдел МВД по городу Миассу,NA,"Отдел МВД по городу Миассу, Миасс",NA,NA
Орёл,Управление МВД по городу Орлу,NA,"Управление МВД по городу Орлу, Орёл",NA,NA
Вологда,Отдел полиции № 3 УМВД России по городу Вологде,NA,"Отдел полиции № 3 УМВД России по городу Вологде, Вологда",NA,NA
Сестрорецк,Отдел МВД по Курортному району г. Санкт-Петербурга,NA,Отдел МВД по Курортному району г. Санкт-Петербурга,NA,NA
Югорск,Отдел МВД по городу Югорску,NA,"Отдел МВД по городу Югорску, Югорск",NA,NA
Георгиевск,Отдел МВД России по Георгиевскому городскому округу,NA,"Отдел МВД России по Георгиевскому городскому округу, Георгиевск",NA,NA
Новокузнецк,Отдел полиции «Куйбышевский» УМВД по г. Новокузнецку,NA,Отдел полиции «Куйбышевский» УМВД по г. Новокузнецку,NA,NA
Рыбинск,Межмуниципальное управление МВД России Рыбинское,NA,"Межмуниципальное управление МВД России Рыбинское, Рыбинск",NA,NA
Красное Село,Отдел полиции № 9 Красносельского района г. Санкт-Петербурга,NA,Отдел полиции № 9 Красносельского района г. Санкт-Петербурга,NA,NA
Анапа,Отдел МВД по городу Анапа,NA,"Отдел МВД по городу Анапа, Анапа",NA,NA
Владивосток,Фрунзенский РОВД,NA,"Фрунзенский РОВД, Владивосток",NA,NA
